Jogo,Data,Time da Casa,Time Visitante,Serie,Rodada
1,22/09/06,América-RN,Gama,B,26
2,22/09/06,Paysandu,CRB,B,26
3,22/09/06,Ceará,Avaí,B,26
4,23/09/06,Fluminense,Fortaleza,A,26
5,23/09/06,Athletico-PR,São Caetano,A,26
6,23/09/06,Atlético-MG,Sport,B,26
7,24/09/06,Santos,Flamengo,A,26
8,24/09/06,Palmeiras,São Paulo,A,26
9,24/09/06,Figueirense,Paraná,A,26
10,24/09/06,Internacional,Corinthians,A,26
11,24/09/06,Santa Cruz,Juventude,A,26
12,24/09/06,Ponte Preta,Cruzeiro,A,26
13,24/09/06,Vasco,Botafogo,A,26
14,24/09/06,Goiás,Grêmio,A,26
