Jogo,Data,Time da Casa,Time Visitante,Serie,Rodada
1,25/11/06,Brasiliense,Paulista,B,38
2,25/11/06,CRB,Remo,B,38
3,25/11/06,Paysandu,Marília,B,38
4,25/11/06,Vila Nova,Guarani,B,38
5,02/12/06,Internacional,Goiás,A,38
6,02/12/06,Flamengo,São Caetano,A,38
7,03/12/06,Fluminense,Palmeiras,A,38
8,03/12/06,Paraná,São Paulo,A,38
9,03/12/06,Figueirense,Vasco,A,38
10,03/12/06,Cruzeiro,Botafogo,A,38
11,03/12/06,Ponte Preta,Athletico-PR,A,38
12,03/12/06,Corinthians,Juventude,A,38
13,03/12/06,Fortaleza,Grêmio,A,38
14,03/12/06,Santos,Santa Cruz,A,38
