Jogo,Data,Time da Casa,Time Visitante,Serie,Rodada
1,25/09/06,Gama,Ceará,B,27
2,28/09/06,São Raimundo,Ituano,B,27
3,28/09/06,Remo,América-RN,B,27
4,29/09/06,Guarani,Marília,B,27
5,04/10/06,Fortaleza,Figueirense,A,27
6,04/10/06,Juventude,Athletico-PR,A,27
7,04/10/06,Paraná,Ponte Preta,A,27
8,04/10/06,Flamengo,Fluminense,A,27
9,04/10/06,Grêmio,Palmeiras,A,27
10,04/10/06,São Caetano,Goiás,A,27
11,04/10/06,São Paulo,Vasco,A,27
12,05/10/06,Botafogo,Santa Cruz,A,27
13,05/10/06,Corinthians,Santos,A,27
14,05/10/06,Cruzeiro,Internacional,A,27
