Jogo,Data,Time da Casa,Time Visitante,Serie,Rodada
1,09/10/06,Portuguesa,Remo,B,30
2,09/10/06,Sport,Vila Nova,B,30
3,12/10/06,Coritiba,CRB,B,30
4,12/10/06,Avaí,Brasiliense,B,30
5,18/10/06,Vasco,Palmeiras,A,30
6,21/10/06,Goiás,Santa Cruz,A,30
7,21/10/06,Santos,Figueirense,A,30
8,21/10/06,Ponte Preta,Internacional,A,30
9,22/10/06,Grêmio,São Paulo,A,30
10,22/10/06,Paraná,Flamengo,A,30
11,22/10/06,Fortaleza,Athletico-PR,A,30
12,22/10/06,Corinthians,Cruzeiro,A,30
13,22/10/06,Botafogo,São Caetano,A,30
14,22/10/06,Juventude,Fluminense,A,30
