time,região,serie
Fortaleza,CE,A
Coritiba,PR,A
Sport,PE,A
Santos,SP,A
Flamengo,RJ,A
Grêmio,RS,A
Athletico-PR,PR,A
Atlético-MG,MG,A
Bragantino,SP,A
Bahia,BA,A
Atlético-GO,GO,A
Ceará,CE,A
Fluminense,RJ,A
São Paulo,SP,A
Internacional,RS,A
Vasco,RJ,A
Palmeiras,SP,A
Goiás,GO,A
Corinthians,SP,A
Botafogo,RJ,A
Cuiabá,MT,B
Juventude,RS,B
Operário-PR,PR,B
EC Vitória,OUTRO,B
Avaí,SC,B
Cruzeiro,MG,B
Confiança,SE,B
Oeste,SP,B
Ponte Preta,SP,B
CSA,AL,B
Sampaio Corrêa,MA,B
Botafogo-SP,SP,B
Brasil-RS,RS,B
Guarani,SP,B
Paraná,PR,B
CRB,AL,B
Figueirense,SC,B
América-MG,MG,B
Náutico,PE,B
Chapecoense,SC,B
