time,região,serie
Palmeiras,SP,A
Cuiaba,OUTRO,A
Bahia,BA,A
São Paulo,SP,A
Atlético-MG,MG,A
Flamengo,RJ,A
Ceará,CE,A
Corinthians,SP,A
Chapecoense,SC,A
Athletico-PR,PR,A
Internacional,RS,A
Atlético-GO,GO,A
Santos,SP,A
Bragantino,SP,A
Fluminense,RJ,A
América-MG,MG,A
Fortaleza,CE,A
Juventude,RS,A
Sport,PE,A
Grêmio,RS,A
Vasco,RJ,A
Brasil-RS,RS,B
Guarani,SP,B
Vila Nova,GO,B
Náutico,PE,B
CRB,AL,B
Confiança,SE,B
Brusque,SC,B
Coritiba,PR,B
Sampaio Corrêa,MA,B
Operário-PR,PR,B
Goiás,GO,B
EC Vitória,OUTRO,B
Londrina,PR,B
CSA,AL,B
Remo,PA,B
Botafogo,RJ,B
Avaí,SC,B
Cruzeiro,MG,B
Ponte Preta,SP,B
Vitória,BA,B
