time,região,serie
Fluminense,RJ,A
Internacional,RS,A
Chapecoense,SC,A
Athletico-PR,PR,A
São Paulo,SP,A
Bahia,BA,A
Atlético-MG,MG,A
Flamengo,RJ,A
Santos,SP,A
Criciúma,SC,A
Coritiba,PR,A
Palmeiras,SP,A
Botafogo,RJ,A
EC Vitória,OUTRO,A
Corinthians,SP,A
Cruzeiro,MG,A
Figueirense,SC,A
Grêmio,RS,A
Goiás,GO,A
Sport,PE,A
Vila Nova,GO,B
Sampaio Corrêa,MA,B
Joinville,SC,B
Ponte Preta,SP,B
Bragantino,SP,B
Santa Cruz,PE,B
Vasco,RJ,B
Boa Esporte,MG,B
América-RN,RN,B
Ceará,CE,B
Avaí,SC,B
Icasa,CE,B
Paraná,PR,B
Luverdense,MT,B
Oeste,SP,B
Atlético-GO,GO,B
Portuguesa,SP,B
Náutico,PE,B
ABC,RN,B
América-MG,MG,B
