time,região,serie
Sport,PE,A
Palmeiras,SP,A
Avai,OUTRO,A
Corinthians,SP,A
Fluminense,RJ,A
Athletico-PR,PR,A
Cruzeiro,MG,A
Grêmio,RS,A
Santo Andre,OUTRO,A
Goiás,GO,A
Coritiba,PR,A
Atlético-MG,MG,A
Flamengo,RJ,A
Santos,SP,A
São Paulo,SP,A
Barueri,OUTRO,A
Internacional,RS,A
Botafogo,RJ,A
EC Vitória,OUTRO,A
Nautico,OUTRO,A
Ponte Preta,SP,B
Campinense,PB,B
Figueirense,SC,B
Bragantino,SP,B
Vila Nova,GO,B
Juventude,RS,B
Fortaleza,CE,B
Bahia,BA,B
Vasco,RJ,B
América-RN,RN,B
Atlético-GO,GO,B
Portuguesa,SP,B
Paraná,PR,B
Duque de Caxias,RJ,B
Ceará,CE,B
São Caetano,SP,B
Guarani,SP,B
ABC,RN,B
Ipatinga,MG,B
Brasiliense,DF,B
