time,região,serie
Flamengo,RJ,A
Corinthians,SP,A
Fluminense,RJ,A
Cruzeiro,MG,A
Bahia,BA,A
Ponte Preta,SP,A
Avai,OUTRO,A
Palmeiras,SP,A
Grêmio,RS,A
Coritiba,PR,A
Santos,SP,A
Atlético-GO,GO,A
Chapecoense,SC,A
Vasco,RJ,A
Athletico-PR,PR,A
EC Vitória,OUTRO,A
Atlético-MG,MG,A
Botafogo,RJ,A
Sport,PE,A
São Paulo,SP,A
CRB,AL,B
Guarani,SP,B
Juventude,RS,B
Náutico,PE,B
Boa Esporte,MG,B
Criciúma,SC,B
Londrina,PR,B
ABC,RN,B
Goiás,GO,B
Paysandu,PA,B
Brasil-RS,RS,B
Ceará,CE,B
Paraná,PR,B
Vila Nova,GO,B
América-MG,MG,B
Luverdense,MT,B
Figueirense,SC,B
Santa Cruz,PE,B
Oeste,SP,B
Internacional,RS,B
Bragantino,SP,B
Joinville,SC,B
Portuguesa,SP,B
Avaí,SC,B
Icasa,CE,B
América-RN,RN,B
Sampaio Corrêa,MA,B
