time,região,serie
Palmeiras,SP,A
Sport,PE,A
Figueirense,SC,A
Corinthians,SP,A
Internacional,RS,A
Botafogo,RJ,A
Ponte Preta,SP,A
Cruzeiro,MG,A
Bahia,BA,A
Vasco,RJ,A
Atlético-GO,GO,A
Flamengo,RJ,A
Portuguesa,SP,A
Nautico,OUTRO,A
São Paulo,SP,A
Atlético-MG,MG,A
Coritiba,PR,A
Santos,SP,A
Grêmio,RS,A
Fluminense,RJ,A
CRB,AL,B
Ceará,CE,B
Ipatinga,MG,B
Boa Esporte,MG,B
Criciúma,SC,B
América-RN,RN,B
Paraná,PR,B
Grêmio Barueri,SP,B
Joinville,SC,B
São Caetano,SP,B
Avaí,SC,B
Guarani,SP,B
ABC,RN,B
Guaratinguetá,SP,B
Bragantino,SP,B
América-MG,MG,B
ASA,AL,B
Goiás,GO,B
EC Vitória,OUTRO,B
Athletico-PR,PR,B
2-2,OUTRO,B
1-0,OUTRO,B
1-3,OUTRO,B
0-0,OUTRO,B
0-1,OUTRO,B
nan,OUTRO,B
