time,região,serie
Fluminense,RJ,A
Atlético-GO,GO,A
Palmeiras,SP,A
Coritiba,PR,A
Botafogo,RJ,A
Atlético-MG,MG,A
Fortaleza,CE,A
Avai,OUTRO,A
São Paulo,SP,A
Juventude,RS,A
Goiás,GO,A
América-MG,MG,A
Corinthians,SP,A
Cuiaba,OUTRO,A
Santos,SP,A
Flamengo,RJ,A
Athletico-PR,PR,A
Internacional,RS,A
Bragantino,SP,A
Ceará,CE,A
Novorizontino,SP,B
CSA,AL,B
Brusque,SC,B
Vasco,RJ,B
Bahia,BA,B
Chapecoense,SC,B
Ponte Preta,SP,B
Sport,PE,B
Tombense,MG,B
Londrina,PR,B
Vila Nova,GO,B
Cruzeiro,MG,B
Criciúma,SC,B
Grêmio,RS,B
Náutico,PE,B
Operário-PR,PR,B
Ituano,SP,B
Sampaio Corrêa,MA,B
Guarani,SP,B
CRB,AL,B
