time,região,serie
EC Vitória,OUTRO,A
Vasco,RJ,A
Corinthians,SP,A
Grêmio,RS,A
Criciúma,SC,A
Ponte Preta,SP,A
Santos,SP,A
Coritiba,PR,A
Cruzeiro,MG,A
Fluminense,RJ,A
Athletico-PR,PR,A
Botafogo,RJ,A
São Paulo,SP,A
Flamengo,RJ,A
Bahia,BA,A
Nautico,OUTRO,A
Goiás,GO,A
Internacional,RS,A
Atlético-MG,MG,A
Portuguesa,SP,A
Oeste,SP,B
São Caetano,SP,B
Boa Esporte,MG,B
Paysandu,PA,B
Palmeiras,SP,B
Joinville,SC,B
Figueirense,SC,B
Icasa,CE,B
Guaratinguetá,SP,B
ABC,RN,B
Paraná,PR,B
América-RN,RN,B
Ceará,CE,B
Avaí,SC,B
Sport,PE,B
Atlético-GO,GO,B
Bragantino,SP,B
América-MG,MG,B
Chapecoense,SC,B
ASA,AL,B
