time,região,serie
Palmeiras,SP,A
Chapecoense,SC,A
Fluminense,RJ,A
São Paulo,SP,A
Cruzeiro,MG,A
Atlético-PR,OUTRO,A
Sport,PE,A
Vasco,RJ,A
Grêmio,RS,A
Avaí,SC,A
Corinthians,SP,A
Goiás,GO,A
Coritiba,PR,A
Ponte Preta,SP,A
Santos,SP,A
Internacional,RS,A
Joinville,SC,A
Flamengo,RJ,A
Atlético-MG,MG,A
Figueirense,SC,A
Atlético-GO,GO,B
ABC,RN,B
Paraná,PR,B
Mogi Mirim,SP,B
EC Vitória,OUTRO,B
Macaé,RJ,B
América-MG,MG,B
Náutico,PE,B
CRB,AL,B
Paysandu,PA,B
Santa Cruz,PE,B
Sampaio Corrêa,MA,B
Bahia,BA,B
Criciúma,SC,B
Oeste,SP,B
Bragantino,SP,B
Boa,OUTRO,B
Botafogo,RJ,B
Ceará,CE,B
Luverdense,MT,B
