time,região,serie
Juventude,RS,A
Vasco,RJ,A
São Paulo,SP,A
Grêmio,RS,A
Botafogo,RJ,A
São Caetano,SP,A
Palmeiras,SP,A
Santa Cruz,PE,A
Athletico-PR,PR,A
Goiás,GO,A
Corinthians,SP,A
Fluminense,RJ,A
Figueirense,SC,A
Internacional,RS,A
Santos,SP,A
Ponte Preta,SP,A
Flamengo,RJ,A
Cruzeiro,MG,A
Paraná,PR,A
Fortaleza,CE,A
Remo,PA,B
América-RN,RN,B
Gama,DF,B
Ceará,CE,B
Guarani,SP,B
Portuguesa,SP,B
Avaí,SC,B
Náutico,PE,B
Paulista,SP,B
Marília,SP,B
Santo André,SP,B
Sport,PE,B
Paysandu,PA,B
CRB,AL,B
São Raimundo,OUTRO,B
Coritiba,PR,B
Brasiliense,DF,B
Vila Nova,GO,B
Atlético-MG,MG,B
Ituano,SP,B
