time,região,serie
São Paulo,SP,A
Atlético-MG,MG,A
Chapecoense,SC,A
Flamengo,RJ,A
Grêmio,RS,A
Bahia,BA,A
Athletico-PR,PR,A
Ceará,CE,A
Palmeiras,SP,A
Fluminense,RJ,A
Internacional,RS,A
CSA,AL,A
Corinthians,SP,A
Cruzeiro,MG,A
Avai,OUTRO,A
Goiás,GO,A
Vasco,RJ,A
Fortaleza,CE,A
Santos,SP,A
Botafogo,RJ,A
Brasil-RS,RS,B
Operário-PR,PR,B
São Bento,OUTRO,B
Sport,PE,B
Botafogo-SP,SP,B
Guarani,SP,B
Criciúma,SC,B
Vila Nova,GO,B
CRB,AL,B
Coritiba,PR,B
América-MG,MG,B
Oeste,SP,B
Ponte Preta,SP,B
Londrina,PR,B
Atlético-GO,GO,B
Figueirense,SC,B
Vitória,BA,B
Cuiabá,MT,B
Paraná,PR,B
Bragantino,SP,B
