Rodada,Data,Time da Casa,Placar,Time Visitante
1F,12/04/92,Cruzeiro,0-0,Náutico
1F,12/04/92,Sport,0-1,Bahia
1F,12/04/92,Paysandu,3-0,Guarani
1F,13/04/92,Internacional,1-1,Atlético Paranaense
1F,13/04/92,Bragantino,2-0,Goiás
1F,18/04/92,Guarani,1-0,Corinthians
1F,18/04/92,São Paulo,0-1,Portuguesa
1F,18/04/92,Bahia,0-1,Palmeiras
1F,19/04/92,Fluminense,1-1,Flamengo
1F,19/04/92,Botafogo,6-0,Goiás
1F,19/04/92,Atlético Mineiro,2-1,Bragantino
1F,19/04/92,Paysandu,0-1,Internacional
1F,20/04/92,Náutico,0-2,Santos
1F,20/04/92,Atlético Paranaense,1-1,Sport
1F,25/04/92,Bragantino,0-0,Vasco
1F,25/04/92,Goiás,1-1,São Paulo
1F,26/04/92,Corinthians,1-1,Internacional
1F,26/04/92,Palmeiras,1-0,Cruzeiro
1F,26/04/92,Botafogo,2-0,Santos
1F,26/04/92,Flamengo,1-2,Sport
1F,26/04/92,Atlético Mineiro,1-0,Portuguesa
1F,26/04/92,Bahia,4-0,Paysandu
1F,27/04/92,Náutico,1-1,Fluminense
1F,27/04/92,Atlético Paranaense,1-1,Guarani
1F,02/05/92,Internacional,0-2,Botafogo
1F,02/05/92,Santos,2-2,Atlético Paranaense
1F,02/05/92,Palmeiras,3-0,Goiás
1F,03/05/92,São Paulo,1-0,Vasco
1F,03/05/92,Fluminense,0-0,Guarani
1F,03/05/92,Flamengo,4-1,Paysandu
1F,03/05/92,Cruzeiro,1-1,Bahia
1F,03/05/92,Sport,0-0,Atlético Mineiro
1F,03/05/92,Portuguesa,3-1,Náutico
1F,04/05/92,Bragantino,1-1,Corinthians
1F,06/05/92,Vasco,0-1,Cruzeiro
1F,09/05/92,Santos,1-2,Cruzeiro
1F,09/05/92,Goiás,4-2,Corinthians
1F,09/05/92,Portuguesa,1-1,Flamengo
1F,10/05/92,São Paulo,3-0,Botafogo
1F,10/05/92,Vasco,2-0,Internacional
1F,10/05/92,Guarani,2-0,Bragantino
1F,10/05/92,Fluminense,1-1,Sport
1F,10/05/92,Atlético Mineiro,1-0,Bahia
1F,10/05/92,Atlético Paranaense,3-2,Paysandu
1F,11/05/92,Náutico,1-0,Palmeiras
1F,23/05/92,Corinthians,1-0,Fluminense
1F,23/05/92,Paysandu,3-0,São Paulo
1F,24/05/92,Botafogo,0-2,Bragantino
1F,24/05/92,Palmeiras,1-0,Atlético Paranaense
1F,24/05/92,Flamengo,3-1,Goiás
1F,24/05/92,Guarani,0-1,Atlético Mineiro
1F,24/05/92,Cruzeiro,1-1,Portuguesa
1F,24/05/92,Internacional,0-0,Sport
1F,25/05/92,Bahia,0-2,Santos
1F,25/05/92,Náutico,1-1,Vasco
1F,26/05/92,Fluminense,1-1,Cruzeiro
1F,31/05/92,Vasco,0-0,Santos
1F,31/05/92,Flamengo,2-0,Internacional
1F,31/05/92,São Paulo,2-0,Náutico
1F,31/05/92,Atlético Paranaense,0-1,Corinthians
1F,31/05/92,Guarani,2-1,Botafogo
1F,31/05/92,Sport,0-2,Palmeiras
1F,31/05/92,Bragantino,0-0,Bahia
1F,31/05/92,Goiás,1-1,Portuguesa
1F,31/05/92,Atlético Mineiro,0-0,Paysandu
B,06/06/92,Botafogo,2-1,Cruzeiro
A,07/06/92,Vasco,3-3,Santos
B,07/06/92,Bragantino,2-1,Corinthians
B,13/06/92,Corinthians,0-1,Botafogo
B,13/06/92,Cruzeiro,1-0,Bragantino
A,14/06/92,Flamengo,1-0,São Paulo
A,20/06/92,Santos,1-0,Flamengo
B,20/06/92,Cruzeiro,1-3,Corinthians
A,21/06/92,São Paulo,2-2,Vasco
B,21/06/92,Bragantino,1-1,Botafogo
A,27/06/92,Santos,1-1,São Paulo
B,27/06/92,Botafogo,0-1,Bragantino
A,28/06/92,Flamengo,1-1,Vasco
B,28/06/92,Corinthians,3-1,Cruzeiro
A,01/07/92,São Paulo,1-0,Santos
A,01/07/92,Vasco,0-2,Flamengo
A,04/07/92,São Paulo,2-0,Flamengo
B,04/07/92,Cruzeiro,1-2,Botafogo
A,05/07/92,Santos,1-1,Vasco
B,05/07/92,Corinthians,1-1,Bragantino
A,08/07/92,Vasco,3-0,São Paulo
A,08/07/92,Flamengo,3-1,Santos
B,09/07/92,Botafogo,1-0,Corinthians
B,09/07/92,Bragantino,1-0,Cruzeiro
F,12/07/92,Flamengo,3-0,Botafogo
F,19/07/92,Botafogo,2-2,Flamengo
