Rodada,Data,Time da Casa,Placar,Time Visitante
1F,24/07/99,Palmeiras,3-1,Juventude
1F,25/07/99,Botafogo-SP,4-2,Portuguesa
1F,25/07/99,Paraná,0-2,Santos
1F,25/07/99,Guarani,2-1,Internacional
1F,25/07/99,Grêmio,2-1,Atlético Paranaense
1F,25/07/99,Coritiba,2-0,Vitória
1F,25/07/99,Sport,0-0,Vasco
1F,25/07/99,Flamengo,1-0,Ponte Preta
1F,25/07/99,São Paulo,5-1,Atlético Mineiro
1F,25/07/99,Gama,2-4,Corinthians
1F,28/07/99,Cruzeiro,4-1,Botafogo
1F,28/07/99,Santos,3-2,São Paulo
1F,31/07/99,Vitória,2-1,Palmeiras
1F,31/07/99,Atlético Paranaense,3-2,Flamengo
1F,31/07/99,Juventude,0-0,Cruzeiro
1F,31/07/99,Ponte Preta,2-0,Grêmio
1F,31/07/99,Atlético Mineiro,2-0,Gama
1F,01/08/99,Botafogo,0-0,Sport
1F,01/08/99,Corinthians,4-1,Botafogo-SP
1F,01/08/99,Portuguesa,1-0,Guarani
1F,01/08/99,Internacional,0-2,Coritiba
1F,04/08/99,São Paulo,0-1,Botafogo
1F,04/08/99,Guarani,0-2,Corinthians
1F,07/08/99,Ponte Preta,1-1,Botafogo
1F,07/08/99,Santos,0-0,Vitória
1F,07/08/99,Coritiba,1-1,Botafogo-SP
1F,08/08/99,Flamengo,0-1,Paraná
1F,08/08/99,Gama,0-1,Guarani
1F,08/08/99,Sport,1-1,Atlético Mineiro
1F,08/08/99,Palmeiras,2-2,Atlético Paranaense
1F,08/08/99,Cruzeiro,3-1,Internacional
1F,11/08/99,Atlético Mineiro,2-0,Palmeiras
1F,11/08/99,Internacional,1-2,Flamengo
1F,14/08/99,Atlético Paranaense,3-0,Santos
1F,14/08/99,Vitória,0-2,Grêmio
1F,15/08/99,Vasco,2-1,Botafogo
1F,15/08/99,Botafogo-SP,1-3,Gama
1F,15/08/99,Paraná,1-0,Sport
1F,15/08/99,Portuguesa,2-1,São Paulo
1F,15/08/99,Guarani,1-0,Juventude
1F,15/08/99,Coritiba,2-2,Cruzeiro
1F,18/08/99,Cruzeiro,2-1,São Paulo
1F,18/08/99,Grêmio,0-0,Vasco
1F,18/08/99,Flamengo,2-1,Coritiba
1F,18/08/99,Botafogo,1-5,Atlético Mineiro
1F,18/08/99,Gama,0-0,Santos
1F,18/08/99,Corinthians,5-1,Vitória
1F,18/08/99,Sport,1-0,Portuguesa
1F,18/08/99,Botafogo-SP,1-1,Palmeiras
1F,18/08/99,Ponte Preta,0-0,Guarani
1F,18/08/99,Paraná,2-2,Juventude
1F,18/08/99,Santos,0-1,Botafogo
1F,18/08/99,Atlético Paranaense,2-2,Atlético Mineiro
1F,19/08/99,São Paulo,2-0,Juventude
1F,19/08/99,Vasco,1-1,Paraná
1F,19/08/99,Vitória,0-0,Ponte Preta
1F,21/08/99,Botafogo,2-4,Corinthians
1F,21/08/99,Sport,0-1,Flamengo
1F,21/08/99,Juventude,1-1,Grêmio
1F,22/08/99,Vasco,3-1,Vitória
1F,22/08/99,Palmeiras,0-2,Gama
1F,22/08/99,São Paulo,1-0,Botafogo-SP
1F,22/08/99,Coritiba,0-0,Portuguesa
1F,22/08/99,Santos,1-2,Guarani
1F,22/08/99,Ponte Preta,1-0,Paraná
1F,22/08/99,Cruzeiro,3-1,Atlético Paranaense
1F,22/08/99,Internacional,1-0,Atlético Mineiro
1F,25/08/99,Juventude,1-3,Corinthians
1F,25/08/99,Vitória,2-0,Botafogo
1F,25/08/99,Botafogo-SP,0-1,Ponte Preta
1F,25/08/99,Atlético Paranaense,1-2,Internacional
1F,28/08/99,Ponte Preta,1-2,Palmeiras
1F,28/08/99,Santos,1-1,Vasco
1F,28/08/99,Atlético Mineiro,4-1,Coritiba
1F,28/08/99,Gama,2-3,Cruzeiro
1F,29/08/99,Flamengo,3-4,Grêmio
1F,29/08/99,Botafogo-SP,1-1,Sport
1F,29/08/99,Corinthians,1-0,São Paulo
1F,29/08/99,Portuguesa,2-0,Atlético Paranaense
1F,29/08/99,Paraná,2-1,Guarani
1F,29/08/99,Internacional,0-0,Juventude
1F,01/09/99,Grêmio,3-4,Botafogo-SP
1F,01/09/99,Guarani,2-3,São Paulo
1F,01/09/99,Corinthians,1-2,Flamengo
1F,02/09/99,Atlético Paranaense,1-0,Gama
1F,04/09/99,Sport,1-0,Santos
1F,04/09/99,Botafogo-SP,1-4,Flamengo
1F,04/09/99,Botafogo,2-3,Internacional
1F,05/09/99,Grêmio,0-4,São Paulo
1F,05/09/99,Vasco,1-0,Atlético Mineiro
1F,05/09/99,Portuguesa,1-3,Vitória
1F,05/09/99,Palmeiras,2-2,Cruzeiro
1F,05/09/99,Juventude,1-2,Ponte Preta
1F,05/09/99,Paraná,1-1,Coritiba
1F,08/09/99,Cruzeiro,1-3,Corinthians
1F,08/09/99,Botafogo-SP,1-4,Atlético Mineiro
1F,08/09/99,Vitória,1-0,Gama
1F,08/09/99,Internacional,1-0,Portuguesa
1F,11/09/99,Santos,2-0,Botafogo-SP
1F,11/09/99,São Paulo,2-1,Coritiba
1F,11/09/99,Vasco,3-1,Ponte Preta
1F,11/09/99,Gama,1-1,Flamengo
1F,12/09/99,Botafogo,0-1,Atlético Paranaense
1F,12/09/99,Juventude,2-1,Vitória
1F,12/09/99,Sport,3-2,Guarani
1F,12/09/99,Corinthians,1-4,Palmeiras
1F,12/09/99,Grêmio,1-0,Internacional
1F,15/09/99,Flamengo,1-0,São Paulo
1F,15/09/99,Guarani,1-0,Vasco
1F,15/09/99,Atlético Mineiro,1-2,Vitória
1F,15/09/99,Juventude,1-1,Botafogo-SP
1F,15/09/99,Palmeiras,1-0,Sport
1F,15/09/99,Portuguesa,1-2,Santos
1F,15/09/99,Atlético Paranaense,1-1,Paraná
1F,16/09/99,Ponte Preta,2-0,Coritiba
1F,18/09/99,Portuguesa,1-1,Grêmio
1F,19/09/99,Coritiba,0-3,Guarani
1F,19/09/99,Internacional,0-1,Gama
1F,19/09/99,Cruzeiro,1-0,Sport
1F,22/09/99,Gama,2-1,Grêmio
1F,22/09/99,Paraná,0-1,Palmeiras
1F,22/09/99,Corinthians,2-4,Vasco
1F,22/09/99,Botafogo,0-1,Juventude
1F,25/09/99,Sport,0-0,Corinthians
1F,25/09/99,Coritiba,3-2,Botafogo
1F,25/09/99,São Paulo,1-2,Gama
1F,25/09/99,Ponte Preta,2-2,Cruzeiro
1F,26/09/99,Flamengo,5-2,Vitória
1F,26/09/99,Vasco,2-0,Internacional
1F,26/09/99,Palmeiras,1-1,Santos
1F,26/09/99,Atlético Mineiro,2-2,Portuguesa
1F,26/09/99,Botafogo-SP,2-0,Paraná
1F,26/09/99,Grêmio,2-3,Guarani
1F,26/09/99,Juventude,1-3,Atlético Paranaense
1F,29/09/99,Vasco,1-2,São Paulo
1F,29/09/99,Atlético Mineiro,3-0,Flamengo
1F,29/09/99,Gama,0-0,Juventude
1F,29/09/99,Vitória,4-1,Cruzeiro
1F,29/09/99,Sport,0-0,Internacional
1F,29/09/99,Palmeiras,3-2,Portuguesa
1F,29/09/99,Santos,1-1,Coritiba
1F,29/09/99,Atlético Paranaense,1-0,Ponte Preta
1F,29/09/99,Grêmio,1-1,Paraná
1F,30/09/99,Botafogo,1-0,Botafogo-SP
1F,02/10/99,Internacional,1-2,Santos
1F,02/10/99,Guarani,1-2,Atlético Paranaense
1F,02/10/99,Portuguesa,0-1,Corinthians
1F,03/10/99,Flamengo,0-1,Vasco
1F,03/10/99,Ponte Preta,2-0,Sport
1F,03/10/99,São Paulo,0-0,Palmeiras
1F,03/10/99,Coritiba,4-0,Grêmio
1F,03/10/99,Cruzeiro,3-0,Atlético Mineiro
1F,06/10/99,Juventude,0-5,Portuguesa
1F,06/10/99,Paraná,2-3,Botafogo
1F,06/10/99,Atlético Mineiro,2-0,Santos
1F,09/10/99,Ponte Preta,2-0,Santos
1F,09/10/99,Coritiba,3-1,Vasco
1F,09/10/99,Corinthians,1-0,Paraná
1F,10/10/99,Gama,3-2,Sport
1F,10/10/99,Vitória,3-2,Atlético Paranaense
1F,10/10/99,São Paulo,0-1,Internacional
1F,10/10/99,Portuguesa,1-1,Cruzeiro
1F,10/10/99,Atlético Mineiro,2-0,Juventude
1F,10/10/99,Guarani,1-1,Botafogo-SP
1F,10/10/99,Botafogo,2-1,Flamengo
1F,13/10/99,Santos,1-4,Corinthians
1F,13/10/99,Vasco,5-2,Gama
1F,13/10/99,Sport,1-1,Coritiba
1F,13/10/99,Palmeiras,6-0,Grêmio
1F,13/10/99,Cruzeiro,1-3,Guarani
1F,14/10/99,Internacional,1-1,Vitória
1F,14/10/99,Atlético Paranaense,4-1,São Paulo
1F,16/10/99,Vasco,2-1,Palmeiras
1F,16/10/99,Guarani,3-0,Flamengo
1F,16/10/99,Paraná,1-0,Gama
1F,16/10/99,Botafogo,1-0,Portuguesa
1F,17/10/99,Coritiba,2-1,Atlético Paranaense
1F,17/10/99,Santos,3-0,Juventude
1F,17/10/99,São Paulo,4-1,Sport
1F,17/10/99,Vitória,3-2,Botafogo-SP
1F,17/10/99,Atlético Mineiro,1-2,Ponte Preta
