Rodada,Data,Time da Casa,Placar,Time Visitante
A,09/03/14,Santos,4-1,Oeste
A,09/03/14,Paulista,1-3,Palmeiras
A,09/03/14,São Bernardo,1-1,Mogi Mirim
A,11/03/14,Portuguesa,3-1,Bragantino
A,11/03/14,XV de Piracicaba,2-0,Linense
A,11/03/14,Osasco Audax,2-0,Penapolense
A,15/03/14,Palmeiras,3-2,Ponte Preta
A,15/03/14,Bragantino,2-1,São Bernardo
A,15/03/14,Linense,1-0,Botafogo-SP
A,15/03/14,Atlético Sorocaba,1-1,XV de Piracicaba
A,16/03/14,Penapolense,0-0,Corinthians
A,16/03/14,São Paulo,0-1,Ituano
A,16/03/14,Rio Claro,3-3,Santos
A,18/03/14,Comercial,0-3,Osasco Audax
A,18/03/14,Mogi Mirim,4-4,Paulista
A,18/03/14,Oeste,1-0,Portuguesa
A,23/03/14,Corinthians,3-0,Atlético Sorocaba
A,23/03/14,Botafogo-SP,0-2,São Paulo
A,23/03/14,Ituano,1-0,Penapolense
A,23/03/14,XV de Piracicaba,1-1,Comercial
A,23/03/14,Osasco Audax,0-1,Linense
A,23/03/14,Santos,2-1,Palmeiras
A,23/03/14,Ponte Preta,0-4,Mogi Mirim
A,23/03/14,Paulista,1-1,Bragantino
A,23/03/14,São Bernardo,5-2,Oeste
A,23/03/14,Portuguesa,4-3,Rio Claro
QF,26/03/14,Botafogo-SP,0-0(1-4 Pen.),Ituano
QF,26/03/14,Santos,4-0,Ponte Preta
QF,26/03/14,São Paulo,0-0(4-5 Pen.),Penapolense
QF,27/03/14,Palmeiras,2-0,Bragantino
SF,30/03/14,Santos,3-2,Penapolense
SF,30/03/14,Palmeiras,0-1,Ituano
F,06/04/14,Ituano,1-0,Santos
F,13/04/14,Santos,1-0(6-7 Pen.),Ituano
