Rodada,Data,Time da Casa,Placar,Time Visitante
1,18/08/12,Arsenal,0-0,Sunderland
1,18/08/12,Fulham,5-0,Norwich City
1,18/08/12,QPR,0-5,Swansea City
1,18/08/12,Reading,1-1,Stoke City
1,18/08/12,West Bromwich,3-0,Liverpool
1,18/08/12,West Ham,1-0,Aston Villa
1,18/08/12,Newcastle,2-1,Tottenham
1,19/08/12,Wigan Athletic,0-2,Chelsea
1,19/08/12,Manchester City,3-2,Southampton
1,20/08/12,Everton,1-0,Manchester United
3,22/08/12,Chelsea,4-2,Reading
2,25/08/12,Swansea City,3-0,West Ham
2,25/08/12,Aston Villa,1-3,Everton
2,25/08/12,Manchester United,3-2,Fulham
2,25/08/12,Norwich City,1-1,QPR
2,25/08/12,Southampton,0-2,Wigan Athletic
2,25/08/12,Tottenham,1-1,West Bromwich
2,25/08/12,Chelsea,2-0,Newcastle
2,26/08/12,Stoke City,0-0,Arsenal
2,26/08/12,Liverpool,2-2,Manchester City
3,01/09/12,West Ham,3-0,Fulham
3,01/09/12,Swansea City,2-2,Sunderland
3,01/09/12,Tottenham,1-1,Norwich City
3,01/09/12,West Bromwich,2-0,Everton
3,01/09/12,Wigan Athletic,2-2,Stoke City
3,01/09/12,Manchester City,3-1,QPR
3,02/09/12,Liverpool,0-2,Arsenal
3,02/09/12,Newcastle,1-1,Aston Villa
3,02/09/12,Southampton,2-3,Manchester United
4,15/09/12,Norwich City,0-0,West Ham
4,15/09/12,Arsenal,6-1,Southampton
4,15/09/12,Aston Villa,2-0,Swansea City
4,15/09/12,Fulham,3-0,West Bromwich
4,15/09/12,Manchester United,4-0,Wigan Athletic
4,15/09/12,QPR,0-0,Chelsea
4,15/09/12,Stoke City,1-1,Manchester City
4,15/09/12,Sunderland,1-1,Liverpool
4,16/09/12,Reading,1-3,Tottenham
4,17/09/12,Everton,2-2,Newcastle
5,22/09/12,Swansea City,0-3,Everton
5,22/09/12,Chelsea,1-0,Stoke City
5,22/09/12,Southampton,4-1,Aston Villa
5,22/09/12,West Bromwich,1-0,Reading
5,22/09/12,West Ham,1-1,Sunderland
5,22/09/12,Wigan Athletic,1-2,Fulham
5,23/09/12,Liverpool,1-2,Manchester United
5,23/09/12,Newcastle,1-0,Norwich City
5,23/09/12,Manchester City,1-1,Arsenal
5,23/09/12,Tottenham,2-1,QPR
6,29/09/12,Arsenal,1-2,Chelsea
6,29/09/12,Everton,3-1,Southampton
6,29/09/12,Fulham,1-2,Manchester City
6,29/09/12,Norwich City,2-5,Liverpool
6,29/09/12,Reading,2-2,Newcastle
6,29/09/12,Stoke City,2-0,Swansea City
6,29/09/12,Sunderland,1-0,Wigan Athletic
6,29/09/12,Manchester United,2-3,Tottenham
6,30/09/12,Aston Villa,1-1,West Bromwich
6,01/10/12,QPR,1-2,West Ham
7,06/10/12,Manchester City,3-0,Sunderland
7,06/10/12,Chelsea,4-1,Norwich City
7,06/10/12,Swansea City,2-2,Reading
7,06/10/12,West Bromwich,3-2,QPR
7,06/10/12,Wigan Athletic,2-2,Everton
7,06/10/12,West Ham,1-3,Arsenal
7,07/10/12,Southampton,2-2,Fulham
7,07/10/12,Liverpool,0-0,Stoke City
7,07/10/12,Tottenham,2-0,Aston Villa
7,07/10/12,Newcastle,0-3,Manchester United
8,20/10/12,Tottenham,2-4,Chelsea
8,20/10/12,Fulham,1-0,Aston Villa
8,20/10/12,Liverpool,1-0,Reading
8,20/10/12,Manchester United,4-2,Stoke City
8,20/10/12,Swansea City,2-1,Wigan Athletic
8,20/10/12,West Bromwich,1-2,Manchester City
8,20/10/12,West Ham,4-1,Southampton
8,20/10/12,Norwich City,1-0,Arsenal
8,21/10/12,Sunderland,1-1,Newcastle
8,21/10/12,QPR,1-1,Everton
9,27/10/12,Aston Villa,1-1,Norwich City
9,27/10/12,Arsenal,1-0,QPR
9,27/10/12,Reading,3-3,Fulham
9,27/10/12,Stoke City,0-0,Sunderland
9,27/10/12,Wigan Athletic,2-1,West Ham
9,27/10/12,Manchester City,1-0,Swansea City
9,28/10/12,Everton,2-2,Liverpool
9,28/10/12,Newcastle,2-1,West Bromwich
9,28/10/12,Southampton,1-2,Tottenham
9,28/10/12,Chelsea,2-3,Manchester United
10,03/11/12,Manchester United,2-1,Arsenal
10,03/11/12,Fulham,2-2,Everton
10,03/11/12,Norwich City,1-0,Stoke City
10,03/11/12,Sunderland,0-1,Aston Villa
10,03/11/12,Swansea City,1-1,Chelsea
10,03/11/12,Tottenham,0-1,Wigan Athletic
10,03/11/12,West Ham,0-0,Manchester City
10,04/11/12,QPR,1-1,Reading
10,04/11/12,Liverpool,1-1,Newcastle
10,05/11/12,West Bromwich,2-0,Southampton
11,10/11/12,Arsenal,3-3,Fulham
11,10/11/12,Everton,2-1,Sunderland
11,10/11/12,Reading,0-0,Norwich City
11,10/11/12,Southampton,1-1,Swansea City
11,10/11/12,Stoke City,1-0,QPR
11,10/11/12,Wigan Athletic,1-2,West Bromwich
11,10/11/12,Aston Villa,2-3,Manchester United
11,11/11/12,Manchester City,2-1,Tottenham
11,11/11/12,Newcastle,0-1,West Ham
11,11/11/12,Chelsea,1-1,Liverpool
12,17/11/12,Arsenal,5-2,Tottenham
12,17/11/12,Liverpool,3-0,Wigan Athletic
12,17/11/12,Manchester City,5-0,Aston Villa
12,17/11/12,Newcastle,1-2,Swansea City
12,17/11/12,QPR,1-3,Southampton
12,17/11/12,Reading,2-1,Everton
12,17/11/12,West Bromwich,2-1,Chelsea
12,17/11/12,Norwich City,1-0,Manchester United
12,18/11/12,Fulham,1-3,Sunderland
12,19/11/12,West Ham,1-1,Stoke City
13,24/11/12,Sunderland,2-4,West Bromwich
13,24/11/12,Everton,1-1,Norwich City
13,24/11/12,Manchester United,3-1,QPR
13,24/11/12,Stoke City,1-0,Fulham
13,24/11/12,Wigan Athletic,3-2,Reading
13,24/11/12,Aston Villa,0-0,Arsenal
13,25/11/12,Swansea City,0-0,Liverpool
13,25/11/12,Southampton,2-0,Newcastle
13,25/11/12,Chelsea,0-0,Manchester City
13,25/11/12,Tottenham,3-1,West Ham
14,27/11/12,Sunderland,0-0,QPR
14,27/11/12,Aston Villa,1-0,Reading
14,28/11/12,Southampton,1-1,Norwich City
14,28/11/12,Stoke City,2-1,Newcastle
14,28/11/12,Swansea City,3-1,West Bromwich
14,28/11/12,Tottenham,2-1,Liverpool
14,28/11/12,Chelsea,0-0,Fulham
14,28/11/12,Everton,1-1,Arsenal
14,28/11/12,Manchester United,1-0,West Ham
14,28/11/12,Wigan Athletic,0-2,Manchester City
15,01/12/12,West Ham,3-1,Chelsea
15,01/12/12,Arsenal,0-2,Swansea City
15,01/12/12,Fulham,0-3,Tottenham
15,01/12/12,Liverpool,1-0,Southampton
15,01/12/12,Manchester City,1-1,Everton
15,01/12/12,QPR,1-1,Aston Villa
15,01/12/12,West Bromwich,0-1,Stoke City
15,01/12/12,Reading,3-4,Manchester United
15,02/12/12,Norwich City,2-1,Sunderland
15,03/12/12,Newcastle,3-0,Wigan Athletic
16,08/12/12,Arsenal,2-0,West Bromwich
16,08/12/12,Aston Villa,0-0,Stoke City
