Rodada,Data,Time da Casa,Placar,Time Visitante
A,17/02/24,Andirá-AC,0-0,ADESG
B,17/02/24,Náuas,2-2,Galvez EC
A,25/02/24,Independência-AC,2-1,Vasco da Gama-AC
A,25/02/24,Atlético-AC,0-3,Rio Branco-AC
B,03/03/24,Plácido de Castro,1-0,Náuas
B,03/03/24,São Francisco FC,1-2,SC Humaitá
A,06/03/24,Atlético-AC,1-0,Andirá-AC
B,06/03/24,Galvez EC,0-0,São Francisco FC
A,10/03/24,Rio Branco-AC,2-0,Vasco da Gama-AC
A,10/03/24,ADESG,0-0,Independência-AC
B,16/03/24,SC Humaitá,4-0,Náuas
A,16/03/24,Rio Branco-AC,1-0,Andirá-AC
A,19/03/24,Vasco da Gama-AC,2-1,ADESG
A,19/03/24,Atlético-AC,0-0,Independência-AC
A,23/03/24,ADESG,1-1,Rio Branco-AC
B,23/03/24,Plácido de Castro,1-2,Galvez EC
B,26/03/24,Náuas,0-2,São Francisco FC
B,26/03/24,SC Humaitá,1-0,Plácido de Castro
A,30/03/24,Vasco da Gama-AC,4-0,Atlético-AC
A,30/03/24,Andirá-AC,1-3,Independência-AC
A,02/04/24,Andirá-AC,1-5,Vasco da Gama-AC
B,02/04/24,Galvez EC,0-4,SC Humaitá
A,05/04/24,ADESG,2-0,Atlético-AC
B,06/04/24,São Francisco FC,2-1,Plácido de Castro
A,06/04/24,Independência-AC,2-2,Rio Branco-AC
,10/04/24,Atlético-AC,0-4,Plácido de Castro
2T,10/04/24,São Francisco FC,1-1,SC Humaitá
2T,11/04/24,Rio Branco-AC,1-0,Galvez EC
2T,11/04/24,Vasco da Gama-AC,0-2,Independência-AC
2T,14/04/24,SC Humaitá,2-1,Independência-AC
2T,14/04/24,São Francisco FC,1-2,Galvez EC
2T,15/04/24,Rio Branco-AC,3-3,Vasco da Gama-AC
2T,17/04/24,Galvez EC,1-1,Independência-AC
2T,18/04/24,São Francisco FC,0-1,Rio Branco-AC
2T,18/04/24,SC Humaitá,1-1,Vasco da Gama-AC
2T,21/04/24,Galvez EC,2-2,SC Humaitá
2T,21/04/24,Independência-AC,1-0,Rio Branco-AC
2T,22/04/24,Vasco da Gama-AC,4-1,São Francisco FC
2T,25/04/24,Rio Branco-AC,0-3,SC Humaitá
2T,25/04/24,Independência-AC,4-1,São Francisco FC
2T,26/04/24,Galvez EC,2-3,Vasco da Gama-AC
