Fase,Rodada,Data,Time da Casa,Placar,Time Visitante
PR,1,22/01/13,Tigre,2-1,Anzoátegui
PR,1,22/01/13,Club León,1-1,Deportes Iquique
PR,1,23/01/13,LDU Quito,1-0,Grêmio
PR,1,23/01/13,São Paulo,5-0,Bolívar
PR,1,24/01/13,Defensor Sporting,0-0,Olimpia
PR,1,24/01/13,Deportes Tolima,1-0,Universidad César Vallejo
PR,2,29/01/13,Anzoátegui,0-3,Tigre
PR,2,29/01/13,Deportes Iquique,1-1,Club León
PR,2,30/01/13,Grêmio,1-0,LDU Quito
PR,2,30/01/13,Bolívar,4-3,São Paulo
PR,2,31/01/13,Olimpia,2-0,Defensor Sporting
PR,2,31/01/13,Universidad César Vallejo,1-1,Deportes Tolima
FG,1,12/02/13,Nacional (URU),2-2,Barcelona SC
FG,1,12/02/13,Universidad de Chile,2-0,Deportivo Lara
FG,1,12/02/13,Emelec,1-0,Vélez Sarsfield
FG,1,13/02/13,Deportes Iquique,1-2,Peñarol
FG,1,13/02/13,Atlético Mineiro,2-1,São Paulo
FG,1,13/02/13,Boca Juniors,1-2,Toluca
FG,1,13/02/13,Caracas FC,0-1,Fluminense
FG,1,14/02/13,Real Garcilaso,1-1,Santa Fe
FG,1,14/02/13,Grêmio,1-2,Huachipato
FG,1,14/02/13,Newell's Old Boys,3-1,Olimpia
FG,1,14/02/13,The Strongest,2-1,Arsenal de Sarandí
FG,1,14/02/13,Palmeiras,2-0,Sporting Cristal
FG,1,15/02/13,Deportes Tolima,2-1,Cerro Porteño
FG,2,19/02/13,Peñarol,1-0,Emelec
FG,1,19/02/13,Millonarios,0-1,Club Tijuana
FG,2,19/02/13,Olimpia,3-0,Universidad de Chile
FG,2,19/02/13,Toluca,2-3,Nacional (URU)
FG,2,20/02/13,Huachipato,1-3,Caracas FC
FG,2,20/02/13,Vélez Sarsfield,3-0,Deportes Iquique
FG,1,20/02/13,San José,1-1,Corinthians
FG,2,20/02/13,Fluminense,0-3,Grêmio
FG,2,21/02/13,Deportivo Lara,2-1,Newell's Old Boys
FG,2,21/02/13,Cerro Porteño,0-1,Real Garcilaso
FG,1,21/02/13,Tigre,0-2,Libertad
FG,2,21/02/13,Santa Fe,1-1,Deportes Tolima
FG,3,26/02/13,Peñarol,0-1,Vélez Sarsfield
FG,3,26/02/13,Deportes Tolima,0-1,Real Garcilaso
FG,2,26/02/13,Arsenal de Sarandí,2-5,Atlético Mineiro
FG,2,27/02/13,Club Tijuana,4-0,San José
FG,2,27/02/13,Barcelona SC,1-2,Boca Juniors
FG,2,27/02/13,Corinthians,2-0,Millonarios
FG,3,27/02/13,Huachipato,1-2,Fluminense
FG,3,28/02/13,Deportes Iquique,2-0,Emelec
FG,2,28/02/13,Sporting Cristal,2-0,Tigre
FG,2,28/02/13,Libertad,2-0,Palmeiras
FG,2,28/02/13,São Paulo,2-1,The Strongest
FG,3,05/03/13,Olimpia,2-2,Deportivo Lara
FG,3,05/03/13,Millonarios,2-1,San José
FG,3,05/03/13,Grêmio,4-1,Caracas FC
FG,3,05/03/13,Newell's Old Boys,1-2,Universidad de Chile
FG,4,05/03/13,Emelec,2-1,Deportes Iquique
FG,3,06/03/13,Libertad,2-2,Sporting Cristal
FG,3,06/03/13,Tigre,1-0,Palmeiras
FG,4,06/03/13,Fluminense,1-1,Huachipato
FG,3,06/03/13,Club Tijuana,1-0,Corinthians
FG,3,07/03/13,Toluca,1-1,Barcelona SC
FG,3,07/03/13,São Paulo,1-1,Arsenal de Sarandí
FG,3,07/03/13,Cerro Porteño,1-2,Santa Fe
FG,3,07/03/13,Boca Juniors,0-1,Nacional (URU)
FG,3,07/03/13,Atlético Mineiro,2-1,The Strongest
FG,4,12/03/13,Sporting Cristal,1-1,Libertad
FG,4,12/03/13,Vélez Sarsfield,3-1,Peñarol
FG,4,12/03/13,Caracas FC,2-1,Grêmio
FG,4,12/03/13,Universidad de Chile,0-2,Newell's Old Boys
FG,4,13/03/13,Barcelona SC,0-0,Toluca
FG,4,13/03/13,Deportivo Lara,1-5,Olimpia
FG,4,13/03/13,Corinthians,3-0,Club Tijuana
FG,4,13/03/13,The Strongest,1-2,Atlético Mineiro
FG,4,14/03/13,Nacional (URU),0-1,Boca Juniors
FG,4,14/03/13,Arsenal de Sarandí,2-1,São Paulo
