Jogo,Data,Time da Casa,Time Visitante,Serie,Rodada
1,30/04/22,Chapecoense,Cruzeiro,B,5
2,30/04/22,CSA,Sport,B,5
3,30/04/22,Sampaio Corrêa,Operário-PR,B,5
4,03/05/22,Náutico,Guarani,B,5
5,07/05/22,Atlético-MG,América-MG,A,5
6,07/05/22,Athletico-PR,Ceará,A,5
7,08/05/22,Flamengo,Botafogo,A,5
8,08/05/22,Palmeiras,Fluminense,A,5
9,08/05/22,Atlético-GO,Goiás,A,5
10,08/05/22,Bragantino,Corinthians,A,5
11,08/05/22,Santos,Cuiaba,A,5
12,08/05/22,Juventude,Internacional,A,5
13,08/05/22,Fortaleza,São Paulo,A,5
14,09/05/22,Avai,Coritiba,A,5
