Jogo,Data,Time da Casa,Time Visitante,Serie,Rodada
1,17/08/22,Criciúma,Operário-PR,B,25
2,18/08/22,Tombense,Sport,B,25
3,19/08/22,Náutico,Vila Nova,B,25
4,20/08/22,Sampaio Corrêa,CRB,B,25
5,03/09/22,Juventude,Avai,A,25
6,03/09/22,Bragantino,Palmeiras,A,25
7,03/09/22,Athletico-PR,Fluminense,A,25
8,03/09/22,América-MG,Coritiba,A,25
9,04/09/22,Flamengo,Ceará,A,25
10,04/09/22,Corinthians,Internacional,A,25
11,04/09/22,Fortaleza,Botafogo,A,25
12,04/09/22,Atlético-GO,Atlético-MG,A,25
13,04/09/22,Cuiaba,São Paulo,A,25
14,05/09/22,Santos,Goiás,A,25
