Jogo,Data,Time da Casa,Time Visitante,Serie,Rodada
1,03/05/22,Bahia,Londrina,B,6
2,05/05/22,Brusque,Chapecoense,B,6
3,08/05/22,Guarani,Ponte Preta,B,6
4,08/05/22,Cruzeiro,Grêmio,B,6
5,14/05/22,Palmeiras,Bragantino,A,6
6,14/05/22,Ceará,Flamengo,A,6
7,14/05/22,Internacional,Corinthians,A,6
8,14/05/22,Atlético-MG,Atlético-GO,A,6
9,14/05/22,Fluminense,Athletico-PR,A,6
10,15/05/22,São Paulo,Cuiaba,A,6
11,15/05/22,Coritiba,América-MG,A,6
12,15/05/22,Botafogo,Fortaleza,A,6
13,15/05/22,Avai,Juventude,A,6
14,15/05/22,Goiás,Santos,A,6
