Jogo,Data,Time da Casa,Time Visitante,Serie,Rodada
1,03/07/07,Palmeiras,America-RN,A,9
2,03/07/07,São Paulo,Internacional,A,9
3,03/07/07,Figueirense,Cruzeiro,A,9
4,03/07/07,Grêmio,Juventude,A,9
5,03/07/07,Athletico-PR,Nautico,A,9
6,03/07/07,Fluminense,Paraná,A,9
7,03/07/07,Goiás,Botafogo,A,9
8,04/07/07,Sport,Corinthians,A,9
9,04/07/07,Atlético-MG,Flamengo,A,9
10,04/07/07,Vasco,Santos,A,9
11,10/07/07,Ituano,Paulista,B,11
12,04/09/07,Santa Cruz,Fortaleza,B,23
13,07/09/07,Avaí,Criciúma,B,24
14,05/10/07,Gama,Criciúma,B,29
