Jogo,Data,Time da Casa,Time Visitante,Serie,Rodada
1,21/07/07,Santa Cruz,Remo,B,13
2,07/08/07,Ceará,Grêmio Barueri,B,17
3,29/08/07,Paraná,Cruzeiro,A,22
4,29/08/07,Juventude,Goiás,A,22
5,29/08/07,Botafogo,Flamengo,A,22
6,29/08/07,Figueirense,America-RN,A,22
7,29/08/07,Palmeiras,São Paulo,A,22
8,29/08/07,Atlético-MG,Corinthians,A,22
9,29/08/07,Sport,Grêmio,A,22
10,29/08/07,Internacional,Fluminense,A,22
11,30/08/07,Santos,Athletico-PR,A,22
12,30/08/07,Vasco,Nautico,A,22
13,13/10/07,Paulista,Ituano,B,30
14,30/10/07,Avaí,Portuguesa,B,33
