Jogo,Data,Time da Casa,Time Visitante,Serie,Rodada
1,29/05/07,Avaí,Grêmio Barueri,B,4
2,02/06/07,Portuguesa,Ceará,B,4
3,04/09/07,São Caetano,Coritiba,B,23
4,20/10/07,Fortaleza,EC Vitória,B,31
5,24/11/07,America-RN,Grêmio,A,37
6,24/11/07,Fluminense,Juventude,A,37
7,25/11/07,São Paulo,Botafogo,A,37
8,25/11/07,Internacional,Palmeiras,A,37
9,25/11/07,Paraná,Santos,A,37
10,25/11/07,Sport,Cruzeiro,A,37
11,25/11/07,Flamengo,Athletico-PR,A,37
12,28/11/07,Atlético-MG,Goiás,A,37
13,28/11/07,Figueirense,Nautico,A,37
14,28/11/07,Corinthians,Vasco,A,37
