Jogo,Data,Time da Casa,Time Visitante,Serie,Rodada
1,23/06/07,Paraná,Sport,A,7
2,23/06/07,Juventude,Figueirense,A,7
3,24/06/07,Santos,São Paulo,A,7
4,24/06/07,Cruzeiro,Atlético-MG,A,7
5,24/06/07,Palmeiras,Athletico-PR,A,7
6,24/06/07,America-RN,Fluminense,A,7
7,24/06/07,Internacional,Grêmio,A,7
8,24/06/07,Nautico,Goiás,A,7
9,13/07/07,CRB,Marília,B,12
10,15/08/07,Botafogo,Corinthians,A,7
11,12/10/07,Ceará,Remo,B,30
12,18/10/07,Vasco,Flamengo,A,7
13,17/11/07,Grêmio Barueri,Gama,B,37
14,24/11/07,CRB,Grêmio Barueri,B,38
