Jogo,Data,Time da Casa,Time Visitante,Serie,Rodada
1,11/05/07,Grêmio Barueri,Remo,B,1
2,19/05/07,Juventude,Paraná,A,2
3,19/05/07,Athletico-PR,Internacional,A,2
4,19/05/07,Santos,America-RN,A,2
5,20/05/07,Cruzeiro,Corinthians,A,2
6,20/05/07,Goiás,Flamengo,A,2
7,20/05/07,Palmeiras,Figueirense,A,2
8,20/05/07,Botafogo,Atlético-MG,A,2
9,20/05/07,Grêmio,Fluminense,A,2
10,20/05/07,Nautico,São Paulo,A,2
11,20/05/07,Vasco,Sport,A,2
12,22/05/07,Ponte Preta,Fortaleza,B,3
13,07/08/07,São Caetano,Fortaleza,B,17
14,21/08/07,Avaí,EC Vitória,B,20
