Jogo,Data,Time da Casa,Time Visitante,Serie,Rodada
1,26/06/07,Santa Cruz,Ituano,B,8
2,11/08/07,Marília,Coritiba,B,18
3,01/09/07,São Paulo,Paraná,A,23
4,01/09/07,Flamengo,Sport,A,23
5,01/09/07,America-RN,Juventude,A,23
6,02/09/07,Corinthians,Santos,A,23
7,02/09/07,Cruzeiro,Palmeiras,A,23
8,02/09/07,Athletico-PR,Atlético-MG,A,23
9,02/09/07,Grêmio,Botafogo,A,23
10,02/09/07,Goiás,Figueirense,A,23
11,02/09/07,Fluminense,Vasco,A,23
12,02/09/07,Nautico,Internacional,A,23
13,06/10/07,Remo,Brasiliense,B,29
14,03/11/07,Marília,Remo,B,34
