Jogo,Data,Time da Casa,Time Visitante,Serie,Rodada
1,19/06/07,Ponte Preta,Ituano,B,7
2,18/08/07,Santos,Sport,A,20
3,18/08/07,Athletico-PR,Figueirense,A,20
4,18/08/07,Grêmio,Paraná,A,20
5,19/08/07,Palmeiras,Flamengo,A,20
6,19/08/07,Nautico,Atlético-MG,A,20
7,19/08/07,Juventude,Corinthians,A,20
8,19/08/07,Vasco,America-RN,A,20
9,19/08/07,Botafogo,Internacional,A,20
10,19/08/07,Cruzeiro,Fluminense,A,20
11,19/08/07,Goiás,São Paulo,A,20
12,08/09/07,Santo André,EC Vitória,B,24
13,06/10/07,EC Vitória,Grêmio Barueri,B,29
14,06/10/07,Ituano,Santo André,B,29
