Jogo,Data,Time da Casa,Time Visitante,Serie,Rodada
1,11/05/07,Fortaleza,Portuguesa,B,1
2,08/08/07,Cruzeiro,Sport,A,18
3,08/08/07,Juventude,Fluminense,A,18
4,08/08/07,Nautico,Figueirense,A,18
5,08/08/07,Goiás,Atlético-MG,A,18
6,08/08/07,Athletico-PR,Flamengo,A,18
7,08/08/07,Botafogo,São Paulo,A,18
8,09/08/07,Vasco,Corinthians,A,18
9,09/08/07,Grêmio,America-RN,A,18
10,09/08/07,Palmeiras,Internacional,A,18
11,09/08/07,Santos,Paraná,A,18
12,31/08/07,Gama,São Caetano,B,22
13,02/10/07,Remo,CRB,B,28
14,03/11/07,Criciúma,Santo André,B,34
