Jogo,Data,Time da Casa,Time Visitante,Serie,Rodada
1,09/06/07,Marília,Santa Cruz,B,5
2,21/07/07,Coritiba,Grêmio Barueri,B,13
3,25/08/07,Ceará,Ituano,B,20
4,05/09/07,Corinthians,America-RN,A,24
5,05/09/07,Goiás,Athletico-PR,A,24
6,05/09/07,Flamengo,Figueirense,A,24
7,05/09/07,Juventude,Cruzeiro,A,24
8,05/09/07,Santos,Internacional,A,24
9,05/09/07,Atlético-MG,São Paulo,A,24
10,05/09/07,Grêmio,Vasco,A,24
11,06/09/07,Paraná,Nautico,A,24
12,06/09/07,Botafogo,Palmeiras,A,24
13,06/09/07,Sport,Fluminense,A,24
14,07/09/07,Paulista,São Caetano,B,24
