Jogo,Data,Time da Casa,Time Visitante,Serie,Rodada
1,28/07/07,Santos,Nautico,A,15
2,28/07/07,Vasco,Goiás,A,15
3,28/07/07,Grêmio,Athletico-PR,A,15
4,29/07/07,Corinthians,Flamengo,A,15
5,29/07/07,Paraná,Atlético-MG,A,15
6,29/07/07,Juventude,Palmeiras,A,15
7,29/07/07,Sport,Internacional,A,15
8,29/07/07,Cruzeiro,Botafogo,A,15
9,29/07/07,America-RN,São Paulo,A,15
10,29/07/07,Fluminense,Figueirense,A,15
11,18/08/07,Santo André,Ceará,B,19
12,31/08/07,Santo André,Remo,B,22
13,07/09/07,Santa Cruz,Marília,B,24
14,26/10/07,Santo André,Ipatinga,B,32
