Jogo,Data,Time da Casa,Time Visitante,Serie,Rodada
1,01/09/21,Londrina,Coritiba,B,22
2,03/09/21,Brusque,Avaí,B,22
3,04/09/21,Náutico,Guarani,B,22
4,07/09/21,Goiás,Cruzeiro,B,22
5,25/09/21,Ceará,Chapecoense,A,22
6,25/09/21,Corinthians,Palmeiras,A,22
7,25/09/21,São Paulo,Atlético-MG,A,22
8,26/09/21,América-MG,Flamengo,A,22
9,26/09/21,Internacional,Bahia,A,22
10,26/09/21,Fluminense,Bragantino,A,22
11,26/09/21,Juventude,Santos,A,22
12,26/09/21,Sport,Fortaleza,A,22
13,26/09/21,Athletico-PR,Grêmio,A,22
14,26/09/21,Atlético-GO,Cuiaba,A,22
