Jogo,Data,Time da Casa,Time Visitante,Serie,Rodada
1,02/11/21,Brusque,Náutico,B,33
2,03/11/21,Coritiba,Operário-PR,B,33
3,04/11/21,Guarani,Vasco,B,33
4,04/11/21,CRB,Sampaio Corrêa,B,33
5,16/11/21,Athletico-PR,Atlético-MG,A,33
6,16/11/21,Grêmio,Bragantino,A,33
7,17/11/21,América-MG,Atlético-GO,A,33
8,17/11/21,Santos,Chapecoense,A,33
9,17/11/21,Cuiaba,Internacional,A,33
10,17/11/21,Fortaleza,Ceará,A,33
11,17/11/21,Palmeiras,São Paulo,A,33
12,17/11/21,Juventude,Fluminense,A,33
13,17/11/21,Flamengo,Corinthians,A,33
14,18/11/21,Sport,Bahia,A,33
