Jogo,Data,Time da Casa,Time Visitante,Serie,Rodada
1,03/07/21,Athletico-PR,Fortaleza,A,9
2,03/07/21,América-MG,Santos,A,9
3,03/07/21,Corinthians,Internacional,A,9
4,03/07/21,EC Vitória,Goiás,B,9
5,03/07/21,Sampaio Corrêa,Londrina,B,9
6,03/07/21,Vila Nova,Ponte Preta,B,9
7,03/07/21,Vasco,Confiança,B,9
8,04/07/21,Chapecoense,Bahia,A,9
9,04/07/21,Flamengo,Fluminense,A,9
10,04/07/21,Sport,Palmeiras,A,9
11,04/07/21,Ceará,Juventude,A,9
12,04/07/21,São Paulo,Bragantino,A,9
13,04/07/21,Cuiaba,Atlético-MG,A,9
14,04/07/21,Grêmio,Atlético-GO,A,9
