Jogo,Data,Time da Casa,Time Visitante,Serie,Rodada
1,12/07/16,Atlético-GO,Londrina,B,16
2,14/07/16,CRB,Tupi,B,16
3,16/07/16,Ceará SC,Criciúma,B,16
4,16/07/16,Goiás,Náutico,B,16
5,23/07/16,Corinthians,Figueirense,A,16
6,23/07/16,Santa Cruz,Coritiba,A,16
7,24/07/16,Ponte Preta,Internacional,A,16
8,24/07/16,Palmeiras,Atlético-MG,A,16
9,24/07/16,Grêmio,São Paulo,A,16
10,24/07/16,Cruzeiro,Sport Recife,A,16
11,24/07/16,Chapecoense,Botafogo,A,16
12,24/07/16,Athletico-PR,Fluminense,A,16
13,24/07/16,EC Vitória,Santos,A,16
14,25/07/16,Flamengo,América-MG,A,16
