Jogo,Data,Time da Casa,Time Visitante,Serie,Rodada
1,27/05/16,Náutico,Sampaio Corrêa,B,4
2,28/05/16,Cruzeiro,América-MG,A,4
3,28/05/16,Athletico-PR,Figueirense,A,4
4,28/05/16,Chapecoense,Santa Cruz,A,4
5,28/05/16,Paysandu,Luverdense,B,4
6,28/05/16,Joinville,Londrina,B,4
7,28/05/16,Bragantino,Tupi,B,4
8,29/05/16,Sport Recife,Corinthians,A,4
9,29/05/16,Ponte Preta,Flamengo,A,4
10,29/05/16,São Paulo,Palmeiras,A,4
11,29/05/16,Fluminense,Botafogo,A,4
12,29/05/16,EC Vitória,Atlético-MG,A,4
13,29/05/16,Santos,Internacional,A,4
14,29/05/16,Grêmio,Coritiba,A,4
