Jogo,Data,Time da Casa,Time Visitante,Serie,Rodada
1,22/11/16,Goiás,Sampaio Corrêa,B,38
2,26/11/16,Bragantino,Londrina,B,38
3,26/11/16,Avaí,Brasil de Pelotas,B,38
4,26/11/16,Atlético-GO,Bahia,B,38
5,11/12/16,EC Vitória,Palmeiras,A,38
6,11/12/16,Sport Recife,Figueirense,A,38
7,11/12/16,Grêmio,Botafogo,A,38
8,11/12/16,Fluminense,Internacional,A,38
9,11/12/16,Cruzeiro,Corinthians,A,38
10,11/12/16,Chapecoense,Atlético-MG,A,38
11,11/12/16,São Paulo,Santa Cruz,A,38
12,11/12/16,Santos,América-MG,A,38
13,11/12/16,Athletico-PR,Flamengo,A,38
14,11/12/16,Ponte Preta,Coritiba,A,38
