Jogo,Data,Time da Casa,Time Visitante,Serie,Rodada
1,18/11/16,Oeste,Joinville,B,37
2,18/11/16,Luverdense,Goiás,B,37
3,19/11/16,Bahia,Bragantino,B,37
4,19/11/16,Brasil de Pelotas,CRB,B,37
5,26/11/16,América-MG,Sport Recife,A,37
6,26/11/16,Botafogo,Ponte Preta,A,37
7,26/11/16,Corinthians,Athletico-PR,A,37
8,27/11/16,Palmeiras,Chapecoense,A,37
9,27/11/16,Internacional,Cruzeiro,A,37
10,27/11/16,Atlético-MG,São Paulo,A,37
11,27/11/16,Flamengo,Santos,A,37
12,27/11/16,Santa Cruz,Grêmio,A,37
13,27/11/16,Figueirense,Fluminense,A,37
14,28/11/16,Coritiba,EC Vitória,A,37
