Jogo,Data,Time da Casa,Time Visitante,Serie,Rodada
1,24/06/16,Paysandu,Atlético-GO,B,12
2,25/06/16,Vila Nova,Goiás,B,12
3,25/06/16,Tupi,Avaí,B,12
4,25/06/16,Ceará SC,Náutico,B,12
5,29/06/16,Grêmio,Santos,A,12
6,29/06/16,Flamengo,Internacional,A,12
7,29/06/16,EC Vitória,Sport Recife,A,12
8,29/06/16,Chapecoense,Cruzeiro,A,12
9,29/06/16,Coritiba,Athletico-PR,A,12
10,29/06/16,São Paulo,Fluminense,A,12
11,29/06/16,América-MG,Corinthians,A,12
12,30/06/16,Santa Cruz,Ponte Preta,A,12
13,30/06/16,Palmeiras,Figueirense,A,12
14,30/06/16,Atlético-MG,Botafogo,A,12
