Jogo,Data,Time da Casa,Time Visitante,Serie,Rodada
1,01/07/16,Sampaio Corrêa,Paysandu,B,14
2,02/07/16,Luverdense,Oeste,B,14
3,02/07/16,CRB,Goiás,B,14
4,02/07/16,Brasil de Pelotas,Joinville,B,14
5,09/07/16,Chapecoense,Corinthians,A,14
6,09/07/16,Coritiba,Botafogo,A,14
7,09/07/16,Ponte Preta,Sport Recife,A,14
8,10/07/16,Flamengo,Atlético-MG,A,14
9,10/07/16,Grêmio,Figueirense,A,14
10,10/07/16,São Paulo,América-MG,A,14
11,10/07/16,Santa Cruz,Internacional,A,14
12,10/07/16,EC Vitória,Fluminense,A,14
13,11/07/16,Cruzeiro,Athletico-PR,A,14
14,12/07/16,Palmeiras,Santos,A,14
