Jogo,Data,Time da Casa,Time Visitante,Serie,Rodada
1,31/08/20,Guarani,Oeste,B,7
2,01/09/20,Confiança,EC Vitória,B,7
3,01/09/20,Paraná,Ponte Preta,B,7
4,02/09/20,Ceará,Fortaleza,A,7
5,02/09/20,Fluminense,Atlético-GO,A,7
6,02/09/20,Goiás,Corinthians,A,7
7,02/09/20,Botafogo,Coritiba,A,7
8,02/09/20,Athletico-PR,Bragantino,A,7
9,02/09/20,Bahia,Flamengo,A,7
10,02/09/20,Palmeiras,Internacional,A,7
11,02/09/20,Santos,Vasco,A,7
12,02/09/20,Avaí,Operário-PR,B,7
13,03/09/20,Grêmio,Sport,A,7
14,03/09/20,Atlético-MG,São Paulo,A,7
