Jogo,Data,Time da Casa,Time Visitante,Serie,Rodada
1,18/08/20,Oeste,Ponte Preta,B,4
2,18/08/20,Cuiabá,Confiança,B,4
3,19/08/20,Flamengo,Grêmio,A,4
4,19/08/20,Bragantino,Fluminense,A,4
5,19/08/20,Athletico-PR,Palmeiras,A,4
6,19/08/20,Goiás,Fortaleza,A,4
7,19/08/20,Internacional,Atlético-GO,A,4
8,19/08/20,Corinthians,Coritiba,A,4
9,19/08/20,Botafogo,Atlético-MG,A,4
10,20/08/20,Sport,Santos,A,4
11,20/08/20,Ceará,Vasco,A,4
12,20/08/20,São Paulo,Bahia,A,4
13,20/08/20,Cruzeiro,Chapecoense,B,4
14,14/10/20,Sampaio Corrêa,Figueirense,B,4
