Jogo,Data,Time da Casa,Time Visitante,Serie,Rodada
1,22/01/21,Cuiabá,Sampaio Corrêa,B,37
2,22/01/21,Juventude,Figueirense,B,37
3,22/01/21,CSA,Brasil-RS,B,37
4,26/01/21,EC Vitória,Botafogo-SP,B,37
5,20/02/21,Coritiba,Ceará,A,37
6,20/02/21,Fortaleza,Bahia,A,37
7,21/02/21,Sport,Atlético-MG,A,37
8,21/02/21,Corinthians,Vasco,A,37
9,21/02/21,Flamengo,Internacional,A,37
10,21/02/21,Santos,Fluminense,A,37
11,21/02/21,Grêmio,Athletico-PR,A,37
12,21/02/21,Goiás,Bragantino,A,37
13,22/02/21,Palmeiras,Atlético-GO,A,37
14,22/02/21,Botafogo,São Paulo,A,37
