Jogo,Data,Time da Casa,Time Visitante,Serie,Rodada
1,24/10/14,América-MG,América-RN,B,32
2,24/10/14,Avaí,Joinville,B,32
3,25/10/14,Vila Nova,Sampaio Corrêa,B,32
4,25/10/14,Luverdense,Oeste,B,32
5,01/11/14,Goiás,Fluminense,A,32
6,01/11/14,Grêmio,EC Vitória,A,32
7,01/11/14,Corinthians,Coritiba,A,32
8,02/11/14,Santos,Internacional,A,32
9,02/11/14,Sport,Figueirense,A,32
10,02/11/14,Cruzeiro,Botafogo,A,32
11,02/11/14,Criciúma,São Paulo,A,32
12,02/11/14,Athletico-PR,Atlético-MG,A,32
13,02/11/14,Flamengo,Chapecoense,A,32
14,02/11/14,Bahia,Palmeiras,A,32
