Jogo,Data,Time da Casa,Time Visitante,Serie,Rodada
1,19/09/14,Ceará,Avaí,B,24
2,20/09/14,Boa Esporte,Paraná,B,24
3,20/09/14,Santa Cruz,Icasa,B,24
4,20/09/14,Bragantino,Luverdense,B,24
5,24/09/14,Internacional,Criciúma,A,24
6,24/09/14,Coritiba,Cruzeiro,A,24
7,24/09/14,Bahia,Sport,A,24
8,24/09/14,Chapecoense,Athletico-PR,A,24
9,24/09/14,São Paulo,Flamengo,A,24
10,24/09/14,Figueirense,Corinthians,A,24
11,24/09/14,Fluminense,Grêmio,A,24
12,25/09/14,Palmeiras,EC Vitória,A,24
13,25/09/14,Botafogo,Goiás,A,24
14,25/09/14,Atlético-MG,Santos,A,24
