Jogo,Data,Time da Casa,Time Visitante,Serie,Rodada
1,09/09/14,Ponte Preta,Atlético-GO,B,21
2,09/09/14,América-RN,Oeste,B,21
3,09/09/14,Ceará,América-MG,B,21
4,09/09/14,Vila Nova,Náutico,B,21
5,13/09/14,Fluminense,Palmeiras,A,21
6,13/09/14,Chapecoense,Sport,A,21
7,13/09/14,Santos,Coritiba,A,21
8,14/09/14,Bahia,Figueirense,A,21
9,14/09/14,Internacional,Botafogo,A,21
10,14/09/14,Flamengo,Corinthians,A,21
11,14/09/14,São Paulo,Cruzeiro,A,21
12,14/09/14,Athletico-PR,EC Vitória,A,21
13,14/09/14,Atlético-MG,Grêmio,A,21
14,14/09/14,Criciúma,Goiás,A,21
