Jogo,Data,Time da Casa,Time Visitante,Serie,Rodada
1,28/11/14,Portuguesa,Vila Nova,B,38
2,29/11/14,Avaí,Vasco,B,38
3,29/11/14,Oeste,Joinville,B,38
4,29/11/14,Atlético-GO,Santa Cruz,B,38
5,06/12/14,Corinthians,Criciúma,A,38
6,06/12/14,Figueirense,Internacional,A,38
7,07/12/14,Coritiba,Bahia,A,38
8,07/12/14,EC Vitória,Santos,A,38
9,07/12/14,Sport,São Paulo,A,38
10,07/12/14,Botafogo,Atlético-MG,A,38
11,07/12/14,Palmeiras,Athletico-PR,A,38
12,07/12/14,Grêmio,Flamengo,A,38
13,07/12/14,Cruzeiro,Fluminense,A,38
14,07/12/14,Goiás,Chapecoense,A,38
