Jogo,Data,Time da Casa,Time Visitante,Serie,Rodada
1,18/07/14,América-MG,Oeste,B,12
2,19/07/14,Vasco,América-RN,B,12
3,19/07/14,Bragantino,Sampaio Corrêa,B,12
4,19/07/14,Vila Nova,Santa Cruz,B,12
5,26/07/14,Santos,Chapecoense,A,12
6,26/07/14,Cruzeiro,Figueirense,A,12
7,26/07/14,Criciúma,EC Vitória,A,12
8,26/07/14,Bahia,Internacional,A,12
9,27/07/14,Goiás,São Paulo,A,12
10,27/07/14,Athletico-PR,Fluminense,A,12
11,27/07/14,Corinthians,Palmeiras,A,12
12,27/07/14,Sport,Atlético-MG,A,12
13,27/07/14,Flamengo,Botafogo,A,12
14,27/07/14,Grêmio,Coritiba,A,12
