Jogo,Data,Time da Casa,Time Visitante,Serie,Rodada
1,30/05/14,Avaí,ABC,B,9
2,31/05/14,Coritiba,Goiás,A,9
3,31/05/14,São Paulo,Atlético-MG,A,9
4,31/05/14,EC Vitória,Sport,A,9
5,31/05/14,Vila Nova,Bragantino,B,9
6,31/05/14,Sampaio Corrêa,Ceará,B,9
7,31/05/14,Ponte Preta,Boa Esporte,B,9
8,01/06/14,Grêmio,Palmeiras,A,9
9,01/06/14,Chapecoense,Bahia,A,9
10,01/06/14,Cruzeiro,Flamengo,A,9
11,01/06/14,Fluminense,Internacional,A,9
12,01/06/14,Santos,Criciúma,A,9
13,01/06/14,Figueirense,Athletico-PR,A,9
14,11/10/14,Botafogo,Corinthians,A,9
