Jogo,Data,Time da Casa,Time Visitante,Serie,Rodada
1,12/09/14,Icasa,Joinville,B,22
2,12/09/14,Náutico,Ceará,B,22
3,13/09/14,Avaí,Vila Nova,B,22
4,13/09/14,América-MG,Boa Esporte,B,22
5,17/09/14,EC Vitória,Fluminense,A,22
6,17/09/14,Cruzeiro,Athletico-PR,A,22
7,17/09/14,Sport,Internacional,A,22
8,17/09/14,Figueirense,Criciúma,A,22
9,17/09/14,Botafogo,Bahia,A,22
10,17/09/14,Palmeiras,Flamengo,A,22
11,17/09/14,Coritiba,São Paulo,A,22
12,18/09/14,Corinthians,Chapecoense,A,22
13,18/09/14,Goiás,Atlético-MG,A,22
14,18/09/14,Grêmio,Santos,A,22
