Jogo,Data,Time da Casa,Time Visitante,Serie,Rodada
1,14/10/14,Boa Esporte,Vila Nova,B,30
2,14/10/14,Atlético-GO,Avaí,B,30
3,17/10/14,Portuguesa,Ponte Preta,B,30
4,17/10/14,Icasa,Oeste,B,30
5,21/10/14,Bahia,Atlético-MG,A,30
6,22/10/14,Corinthians,EC Vitória,A,30
7,22/10/14,Flamengo,Internacional,A,30
8,22/10/14,Criciúma,Athletico-PR,A,30
9,22/10/14,Cruzeiro,Palmeiras,A,30
10,22/10/14,Grêmio,Figueirense,A,30
11,22/10/14,Coritiba,Botafogo,A,30
12,22/10/14,Chapecoense,São Paulo,A,30
13,22/10/14,Santos,Fluminense,A,30
14,22/10/14,Sport,Goiás,A,30
