Jogo,Data,Time da Casa,Time Visitante,Serie,Rodada
1,21/11/14,América-RN,Náutico,B,37
2,21/11/14,Vila Nova,ABC,B,37
3,22/11/14,Ponte Preta,América-MG,B,37
4,22/11/14,Ceará,Portuguesa,B,37
5,29/11/14,Criciúma,Sport,A,37
6,29/11/14,Internacional,Palmeiras,A,37
7,29/11/14,Flamengo,EC Vitória,A,37
8,30/11/14,São Paulo,Figueirense,A,37
9,30/11/14,Santos,Botafogo,A,37
10,30/11/14,Fluminense,Corinthians,A,37
11,30/11/14,Chapecoense,Cruzeiro,A,37
12,30/11/14,Atlético-MG,Coritiba,A,37
13,30/11/14,Athletico-PR,Goiás,A,37
14,30/11/14,Bahia,Grêmio,A,37
