Jogo,Data,Time da Casa,Time Visitante,Serie,Rodada
1,18/11/14,Avaí,Portuguesa,B,36
2,18/11/14,Vasco,Vila Nova,B,36
3,18/11/14,Boa Esporte,Joinville,B,36
4,18/11/14,ABC,Ceará,B,36
5,22/11/14,Internacional,Atlético-MG,A,36
6,22/11/14,Bahia,Athletico-PR,A,36
7,23/11/14,Santos,São Paulo,A,36
8,23/11/14,Flamengo,Criciúma,A,36
9,23/11/14,Sport,Fluminense,A,36
10,23/11/14,Cruzeiro,Goiás,A,36
11,23/11/14,Figueirense,EC Vitória,A,36
12,23/11/14,Corinthians,Grêmio,A,36
13,23/11/14,Chapecoense,Botafogo,A,36
14,23/11/14,Coritiba,Palmeiras,A,36
