Jogo,Data,Time da Casa,Time Visitante,Serie,Rodada
1,20/05/14,Icasa,Bragantino,B,6
2,20/05/14,Ponte Preta,Vila Nova,B,6
3,20/05/14,Náutico,Portuguesa,B,6
4,20/05/14,Atlético-GO,ABC,B,6
5,21/05/14,Coritiba,Internacional,A,6
6,21/05/14,Flamengo,Bahia,A,6
7,21/05/14,Cruzeiro,Sport,A,6
8,21/05/14,Criciúma,Chapecoense,A,6
9,21/05/14,Corinthians,Athletico-PR,A,6
10,21/05/14,Fluminense,São Paulo,A,6
11,21/05/14,Grêmio,Botafogo,A,6
12,22/05/14,Palmeiras,Figueirense,A,6
13,22/05/14,Goiás,Santos,A,6
14,22/05/14,EC Vitória,Atlético-MG,A,6
